dtm,prestah0,ta2200h0,ua2200h0,fkl010h0,dkl010h0,gre000h0,rre150h0
2022-01-01T00:00:00.000000+0000,660.9,3.5,,6.9,127,0,0.0
2022-01-01T01:00:00.000000+0000,660.6,3.4333334,,6.1,120,0,0.0
2022-01-01T02:00:00.000000+0000,660.7,3.5666666,,5.9,120,0,0.0
2022-01-01T03:00:00.000000+0000,661.1,3.7,,4.7,115,0,0.0
2022-01-01T04:00:00.000000+0000,661.2,3.65,,6.4,127,8,0.0
2022-01-01T05:00:00.000000+0000,661.8,5.9166665,,6.5,138,219,0.0
2022-01-01T06:00:00.000000+0000,662.2,8.85,,5.7,107,466,0.0
2022-01-01T07:00:00.000000+0000,662.6,10.65,,4.5,74,685,0.0
2022-01-01T08:00:00.000000+0000,662.6,10.466666,,6.4,7,876,0.0
2022-01-01T09:00:00.000000+0000,662.4,9.7,,5.1,357,1006,0.0
2022-01-01T10:00:00.000000+0000,662.1,10.216666,,5.1,10,805,0.0
2022-01-01T11:00:00.000000+0000,661.7,9.133333,,3.4,8,307,0.2
2022-01-01T12:00:00.000000+0000,661.1,8.083333,,2.5,321,231,0.0
2022-01-01T13:00:00.000000+0000,660.7,8.366667,,3.1,252,191,0.0
2022-01-01T14:00:00.000000+0000,660.7,7.766667,,1.6,302,146,0.0
2022-01-01T15:00:00.000000+0000,660.8,8.433333,,1.7,315,157,0.0
2022-01-01T16:00:00.000000+0000,661.0,7.233333,,2.3,281,13,0.0
2022-01-01T17:00:00.000000+0000,661.2,4.8,,4.0,126,0,0.0
2022-01-01T18:00:00.000000+0000,661.7,4.25,,5.3,131,0,0.0
2022-01-01T19:00:00.000000+0000,662.2,4.133333,,2.4,144,0,0.0
2022-01-01T20:00:00.000000+0000,662.3,4.8166666,,2.4,202,0,0.0
2022-01-01T21:00:00.000000+0000,662.0,4.366667,,0.9,188,0,0.0
2022-01-01T22:00:00.000000+0000,661.6,4.15,,0.9,98,0,0.0
2022-01-01T23:00:00.000000+0000,661.1,3.15,,1.2,153,0,0.0
2022-01-02T00:00:00.000000+0000,660.4,3.2333333,,3.4,102,0,0.0
2022-01-02T01:00:00.000000+0000,660.1,5.233333,,5.5,130,0,0.0
2022-01-02T02:00:00.000000+0000,659.8,7.0333333,,6.6,135,0,0.0
2022-01-02T03:00:00.000000+0000,660.0,7.1,,6.5,136,0,0.0
2022-01-02T04:00:00.000000+0000,660.4,7.5666666,,7.2,136,11,0.0
2022-01-02T05:00:00.000000+0000,661.0,8.416667,,7.0,131,182,0.0
2022-01-02T06:00:00.000000+0000,661.5,11.316667,,6.2,117,455,0.0
2022-01-02T07:00:00.000000+0000,661.9,10.833333,,3.4,28,683,0.0
2022-01-02T08:00:00.000000+0000,661.9,10.55,,4.2,359,860,0.0
2022-01-02T09:00:00.000000+0000,661.6,11.283334,,3.9,5,983,0.0
2022-01-02T10:00:00.000000+0000,661.3,11.383333,,4.7,10,1049,0.0
2022-01-02T11:00:00.000000+0000,660.7,11.333333,,5.2,356,810,0.0
2022-01-02T12:00:00.000000+0000,660.4,10.583333,,3.0,330,508,0.0
2022-01-02T13:00:00.000000+0000,660.0,9.95,,2.8,341,373,0.0
2022-01-02T14:00:00.000000+0000,659.9,10.316667,,3.2,297,484,0.0
2022-01-02T15:00:00.000000+0000,660.1,9.233334,,2.0,267,178,0.0
2022-01-02T16:00:00.000000+0000,660.3,8.2,,1.2,90,65,0.0
2022-01-02T17:00:00.000000+0000,660.5,5.983333,,2.4,110,0,0.0
2022-01-02T18:00:00.000000+0000,660.8,5.5833335,,2.6,172,0,0.0
2022-01-02T19:00:00.000000+0000,661.0,5.55,,1.7,187,0,0.0
2022-01-02T20:00:00.000000+0000,660.8,4.45,,3.5,140,0,0.0
2022-01-02T21:00:00.000000+0000,660.7,4.2166667,,5.5,142,0,0.0
2022-01-02T22:00:00.000000+0000,660.3,3.8666666,,6.3,136,0,0.0
2022-01-02T23:00:00.000000+0000,659.9,4.25,,7.0,138,0,0.0
2022-01-03T00:00:00.000000+0000,659.6,5.05,,7.2,136,0,0.0
2022-01-03T01:00:00.000000+0000,659.4,5.3,,7.9,142,0,0.0
2022-01-03T02:00:00.000000+0000,659.3,6.2166667,,8.0,137,0,0.0
2022-01-03T03:00:00.000000+0000,659.6,5.6833334,,7.7,138,0,0.0
2022-01-03T04:00:00.000000+0000,659.8,5.366667,,8.8,134,10,0.0
2022-01-03T05:00:00.000000+0000,660.3,7.4666667,,6.2,129,220,0.0
2022-01-03T06:00:00.000000+0000,660.8,10.016666,,7.2,118,440,0.0
2022-01-03T07:00:00.000000+0000,661.1,11.383333,,8.3,97,684,0.0
2022-01-03T08:00:00.000000+0000,661.2,12.366667,,7.0,81,867,0.0
2022-01-03T09:00:00.000000+0000,661.3,9.633333,,5.4,306,835,0.0
2022-01-03T10:00:00.000000+0000,661.0,9.4,,4.7,329,565,0.0
2022-01-03T11:00:00.000000+0000,660.6,8.583333,,3.7,294,288,0.0
2022-01-03T12:00:00.000000+0000,660.0,8.6,,5.1,307,409,0.0
2022-01-03T13:00:00.000000+0000,659.8,8.166667,,2.7,323,254,0.0
2022-01-03T14:00:00.000000+0000,659.8,7.7833333,,2.7,18,132,0.0
2022-01-03T15:00:00.000000+0000,659.8,6.9666667,,5.1,131,61,0.0
2022-01-03T16:00:00.000000+0000,660.2,5.6666665,,2.8,156,18,0.0
2022-01-03T17:00:00.000000+0000,660.5,3.7333333,,6.5,143,0,0.0
2022-01-03T18:00:00.000000+0000,660.9,4.0,,7.4,135,0,0.0
2022-01-03T19:00:00.000000+0000,661.1,4.0,,7.8,134,0,0.0
2022-01-03T20:00:00.000000+0000,661.0,4.116667,,8.0,134,0,0.0
2022-01-03T21:00:00.000000+0000,660.9,3.4666667,,7.0,136,0,0.0
2022-01-03T22:00:00.000000+0000,660.8,2.4666667,,6.8,139,0,0.0
2022-01-03T23:00:00.000000+0000,660.3,3.7833333,,7.8,136,0,0.0
2022-01-04T00:00:00.000000+0000,659.9,3.34,,7.6,136,0,0.0
2022-01-04T01:00:00.000000+0000,659.8,4.266667,,7.4,131,0,0.0
2022-01-04T02:00:00.000000+0000,660.2,4.4,,7.8,141,0,0.0
2022-01-04T03:00:00.000000+0000,660.6,3.7166667,,7.7,131,0,0.0
2022-01-04T04:00:00.000000+0000,660.5,4.0,,8.7,131,7,0.0
2022-01-04T05:00:00.000000+0000,661.0,5.516667,,8.8,123,223,0.0
2022-01-04T06:00:00.000000+0000,661.6,7.6666665,,10.5,107,437,0.0
2022-01-04T07:00:00.000000+0000,661.7,9.266666,,10.3,97,664,0.0
2022-01-04T08:00:00.000000+0000,661.7,10.133333,,11.3,95,858,0.0
2022-01-04T09:00:00.000000+0000,661.7,11.616667,,7.9,106,984,0.0
2022-01-04T10:00:00.000000+0000,661.7,12.183333,,5.4,198,953,0.0
2022-01-04T11:00:00.000000+0000,661.2,11.816667,,7.4,258,943,0.0
2022-01-04T12:00:00.000000+0000,660.9,10.333333,,3.7,279,349,0.0
2022-01-04T13:00:00.000000+0000,660.5,8.983334,,6.2,95,227,0.0
2022-01-04T14:00:00.000000+0000,660.2,8.3,,8.5,75,217,0.0
2022-01-04T15:00:00.000000+0000,660.5,8.233334,,6.6,90,239,0.0
2022-01-04T16:00:00.000000+0000,661.0,5.9666667,,6.6,129,75,0.0
2022-01-04T17:00:00.000000+0000,661.2,4.616667,,6.5,133,0,0.0
2022-01-04T18:00:00.000000+0000,661.5,3.4,,5.9,144,0,0.0
2022-01-04T19:00:00.000000+0000,661.6,3.6166666,,7.7,134,0,0.0
2022-01-04T20:00:00.000000+0000,661.6,3.9,,9.5,134,0,0.0
2022-01-04T21:00:00.000000+0000,661.5,4.0333333,,10.3,131,0,0.0
2022-01-04T22:00:00.000000+0000,661.4,3.9,,9.3,132,0,0.0
2022-01-04T23:00:00.000000+0000,661.1,3.3666666,,8.4,129,0,0.0
2022-01-05T00:00:00.000000+0000,660.8,3.4666667,,8.4,125,0,0.0
2022-01-05T01:00:00.000000+0000,660.6,3.9166667,,9.1,122,0,0.0
2022-01-05T02:00:00.000000+0000,660.8,3.7166667,,8.5,130,0,0.0
2022-01-05T03:00:00.000000+0000,660.9,3.8666666,,7.9,133,0,0.0
2022-01-05T04:00:00.000000+0000,661.2,3.65,,7.9,135,5,0.0
2022-01-05T05:00:00.000000+0000,661.8,5.2166667,,6.9,124,132,0.0
2022-01-05T06:00:00.000000+0000,662.4,8.183333,,5.7,96,414,0.0
2022-01-05T07:00:00.000000+0000,662.4,9.866667,,8.3,84,647,0.0
2022-01-05T08:00:00.000000+0000,662.1,10.716666,,9.3,73,833,0.0
2022-01-05T09:00:00.000000+0000,661.9,11.35,,8.7,91,977,0.0
2022-01-05T10:00:00.000000+0000,661.6,12.116667,,7.5,86,1068,0.0
2022-01-05T11:00:00.000000+0000,661.5,12.85,,4.9,100,985,0.0
2022-01-05T12:00:00.000000+0000,661.1,10.816667,,4.0,22,414,0.0
2022-01-05T13:00:00.000000+0000,661.0,9.6,,,,,
2022-01-11T12:00:00.000000+0000,660.4,12.116667,,5.1,281,687,0.0
2022-01-11T13:00:00.000000+0000,660.2,10.98,,5.6,277,539,0.0
2022-01-11T14:00:00.000000+0000,660.3,10.883333,,5.7,270,641,0.0
2022-01-11T15:00:00.000000+0000,660.5,8.883333,,2.4,273,222,0.0
2022-01-11T16:00:00.000000+0000,660.5,5.616667,,5.4,145,14,0.0
2022-01-11T17:00:00.000000+0000,660.5,6.483333,,8.2,134,0,0.0
2022-01-11T18:00:00.000000+0000,660.6,6.6833334,,9.1,133,0,0.0
2022-01-11T19:00:00.000000+0000,660.4,7.116667,,12.4,139,0,0.0
2022-01-11T20:00:00.000000+0000,660.3,6.8,,13.2,137,0,0.0
2022-01-11T21:00:00.000000+0000,660.2,6.8166666,,13.4,138,0,0.0
2022-01-11T22:00:00.000000+0000,660.1,6.75,,13.2,139,0,0.0
2022-01-11T23:00:00.000000+0000,659.4,6.2166667,,14.9,133,0,0.0
2022-01-12T00:00:00.000000+0000,659.3,4.983333,,15.3,136,0,0.0
2022-01-12T01:00:00.000000+0000,659.7,4.4666667,,14.8,133,0,0.0
2022-01-12T02:00:00.000000+0000,659.7,4.366667,,14.4,132,0,0.0
2022-01-12T03:00:00.000000+0000,659.9,4.55,,14.5,132,0,0.0
2022-01-12T04:00:00.000000+0000,660.2,4.6,,14.4,131,7,0.0
2022-01-12T05:00:00.000000+0000,660.8,6.0833335,,14.2,130,207,0.0
2022-01-12T06:00:00.000000+0000,661.4,8.016666,,15.3,128,454,0.0
2022-01-12T07:00:00.000000+0000,661.8,9.3,,14.1,124,679,0.0
2022-01-12T08:00:00.000000+0000,662.0,10.05,,14.2,123,860,0.0
2022-01-12T09:00:00.000000+0000,662.0,11.1,,11.9,111,978,0.0
2022-02-09T10:00:00.000000+0000,661.1,11.2,,,,863,
2022-02-09T11:00:00.000000+0000,660.4,11.783334,,8.1,42,1062,
2022-02-09T12:00:00.000000+0000,660.0,12.166667,,8.6,42,959,0.0
2022-02-09T13:00:00.000000+0000,659.4,11.816667,,8.1,44,824,0.0
2022-02-09T14:00:00.000000+0000,659.5,10.666667,,7.6,65,528,0.0
2022-02-09T15:00:00.000000+0000,659.8,9.22,,6.1,84,317,0.0
2022-02-09T16:00:00.000000+0000,660.1,6.9166665,,4.4,137,79,
2022-02-09T17:00:00.000000+0000,660.4,5.516667,,4.8,137,0,
2022-02-09T18:00:00.000000+0000,661.1,5.866667,,3.3,129,0,0.0
2022-02-09T19:00:00.000000+0000,661.4,5.15,,6.3,121,0,0.0
2022-02-09T20:00:00.000000+0000,661.4,4.4666667,,6.6,132,0,0.0
2022-02-09T21:00:00.000000+0000,661.4,3.85,,6.7,127,0,0.0
2022-02-09T22:00:00.000000+0000,661.1,3.7333333,,7.0,131,0,0.0
2022-02-09T23:00:00.000000+0000,660.7,3.2333333,,7.2,125,0,0.0
2022-02-10T00:00:00.000000+0000,660.2,3.65,,7.0,121,0,0.0
2022-02-10T01:00:00.000000+0000,660.1,5.1833334,,7.4,121,0,0.0
2022-02-10T02:00:00.000000+0000,660.0,4.2,,6.4,123,0,0.0
2022-02-10T03:00:00.000000+0000,660.1,4.06,,6.6,133,110,0.0
2022-02-10T04:00:00.000000+0000,660.6,3.6166666,,6.8,135,7,0.0
2022-02-10T05:00:00.000000+0000,660.8,6.5333333,,5.7,112,193,0.0
2022-02-10T06:00:00.000000+0000,661.6,9.42,,4.5,63,437,
2022-02-10T07:00:00.000000+0000,661.8,10.3,,4.8,27,664,
2022-02-10T08:00:00.000000+0000,661.7,10.85,,4.8,2,872,0.0
2022-02-10T09:00:00.000000+0000,661.3,12.266666,,5.0,13,964,0.0
2022-02-10T10:00:00.000000+0000,660.7,12.05,,7.3,9,1084,0.0
2022-02-10T11:00:00.000000+0000,660.3,12.4,,6.4,27,1071,
2022-02-10T12:00:00.000000+0000,659.9,13.0,,6.3,15,965,
2022-02-10T13:00:00.000000+0000,659.7,11.966666,,7.2,17,579,0.0
2022-02-10T14:00:00.000000+0000,659.8,9.633333,,5.4,32,186,0.0
2022-02-10T15:00:00.000000+0000,659.7,8.933333,,5.8,53,289,0.0
2022-02-10T16:00:00.000000+0000,660.0,7.1666665,,3.3,88,70,0.0
2022-02-10T17:00:00.000000+0000,660.5,6.55,,1.9,245,0,0.0
2022-02-10T18:00:00.000000+0000,660.8,5.016667,,3.6,194,0,0.0
2022-02-10T19:00:00.000000+0000,661.2,5.2166667,,3.0,200,0,0.0
2022-02-10T20:00:00.000000+0000,661.3,5.4,,3.3,201,0,0.0
2022-02-10T21:00:00.000000+0000,661.1,5.6,,2.8,195,0,0.0
2022-02-10T22:00:00.000000+0000,660.7,4.8333335,,2.3,204,0,0.0
2022-02-10T23:00:00.000000+0000,660.2,4.983333,,1.6,243,0,0.0
2022-02-11T00:00:00.000000+0000,659.9,5.5,,1.9,20,0,0.0
2022-02-11T01:00:00.000000+0000,659.7,5.483333,,3.1,81,0,0.0
2022-02-11T02:00:00.000000+0000,659.4,3.95,,5.0,107,0,0.0
2022-02-11T03:00:00.000000+0000,659.6,3.7,,4.5,117,0,0.0
2022-02-11T04:00:00.000000+0000,659.9,3.85,,5.1,110,6,0.0
2022-02-11T05:00:00.000000+0000,660.6,5.8333335,,4.8,107,185,0.0
2022-02-11T06:00:00.000000+0000,661.2,8.733334,,4.4,62,451,0.0
2022-02-11T07:00:00.000000+0000,661.5,9.8,,5.8,40,688,0.0
2022-02-11T08:00:00.000000+0000,661.3,10.666667,,5.8,31,892,0.0
