Date Time(UTC), ,Priority,Application, ,Message,Code, , ,Status
2023-10-18T19:07:30.450000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T19:07:27.766000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T19:07:27.435000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:07:27.417000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:07:27.282000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:07:26.890000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2023-10-18T19:07:24.921000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T19:07:21.560000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:07:21.378000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:07:21.163000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:07:20.859000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2023-10-18T19:07:18.865000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T19:04:46.991000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2023-10-18T19:04:45.175000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T19:04:44.812000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:04:44.803000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:04:44.697000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:04:42.026000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T19:04:41.504000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:04:41.383000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:04:41.168000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:04:40.868000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2023-10-18T19:02:02.681000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T19:01:59.801000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T19:01:59.421000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:01:59.404000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:01:59.298000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T19:01:58.894000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2023-10-18T19:01:56.991000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T19:01:54.354000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T19:01:53.964000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:01:53.882000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:01:53.726000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T19:01:53.380000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2023-10-18T18:50:34.881000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T18:50:34.869000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T18:50:34.708000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2023-10-18T18:50:34.346000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2023-10-18T18:50:32.349000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2023-10-18T18:50:29.451000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2023-10-18T18:50:28.889000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T18:50:28.770000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T18:50:28.524000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2023-10-18T18:50:28.133000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2023-10-18T18:38:44.875000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
