Date Time(UTC), ,Priority,Application, ,Message,Code, , ,Status
2024-03-24T05:16:30.188000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-24T05:16:28.010000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T05:16:25.355000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-24T05:16:24.954000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:16:24.860000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:16:24.686000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-24T05:16:24.344000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-24T05:16:22.349000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-24T05:16:19.768000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-23T15:43:51.513000+00:00,"","info","Output Group 2","","Group is ON","00000A0F","","","Closed"
2024-03-23T15:43:50.540000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on bypass","00000205","","","Closed"
2024-03-23T15:43:49.982000+00:00,"","critical","Eaton 9PX3000i RT 2U","","Load protected","0000081E","","","Closed"
2024-03-23T15:43:48.498000+00:00,"","info","Output Group 1","","Group is ON","00000A0F","","","Closed"
2024-03-23T15:43:45.691000+00:00,"","info","Output","","Group is ON","00000A0F","","","Closed"
2024-03-23T15:43:44.837000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass mode","00000205","","","Open"
2024-03-23T15:43:44.248000+00:00,"","critical","Eaton 9PX3000i RT 2U","","Load unprotected","0000081E","","","Open"
2024-03-23T15:43:38.756000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on battery","00000001","","","Closed"
2024-03-23T15:43:36.902000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage in range","00000209","","","Closed"
2024-03-23T15:43:36.723000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2024-03-23T15:43:36.685000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency in range","00000206","","","Closed"
2024-03-23T15:43:36.550000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage in range","00000108","","","Closed"
2024-03-23T15:43:36.500000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC present","00000106","","","Closed"
2024-03-23T15:43:36.344000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency in range","00000104","","","Closed"
2024-03-23T14:20:10.750000+00:00,"","warning","Eaton 9PX3000i RT 2U","","On battery","00000001","","","Open"
2024-03-23T14:20:08.685000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage out of range","00000209","","","Open"
2024-03-23T14:20:08.432000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2024-03-23T14:20:08.372000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency out of range","00000206","","","Open"
2024-03-23T14:20:08.199000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage out of range (-)","00000108","","","Open"
2024-03-23T14:20:08.131000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC not present","00000106","","","Open"
2024-03-23T14:20:07.992000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency out of range","00000104","","","Open"
2024-03-23T14:20:00.519000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2024-03-23T14:19:57.541000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2024-03-23T14:19:55.299000+00:00,"","info","Output Group 1","","Group is OFF","00000A0F","","","Open"
2024-03-23T14:19:55.240000+00:00,"","info","Output","","Group is OFF","00000A0F","","","Open"
2024-03-23T14:19:54.462000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on bypass","00000205","","","Closed"
2024-03-23T14:19:53.945000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load not powered","0000081D","","","Open"
2024-03-23T14:19:52.209000+00:00,"","info","Output Group 1","","Group is ON","00000A0F","","","Closed"
2024-03-23T14:19:49.566000+00:00,"","info","Output","","Group is ON","00000A0F","","","Closed"
2024-03-23T14:19:48.712000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass mode","00000205","","","Open"
2024-03-23T14:19:48.162000+00:00,"","critical","Eaton 9PX3000i RT 2U","","Load unprotected","0000081E","","","Open"
2024-03-23T14:19:43.274000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage in range","00000209","","","Closed"
2024-03-23T14:19:43.095000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2024-03-23T14:19:43.036000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency in range","00000206","","","Closed"
2024-03-23T14:19:42.913000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage in range","00000108","","","Closed"
2024-03-23T14:19:42.871000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC present","00000106","","","Closed"
2024-03-23T14:19:42.744000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency in range","00000104","","","Closed"
2024-03-23T14:19:41.975000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on battery","00000001","","","Closed"
2024-03-23T14:11:44.334000+00:00,"","critical","Eaton 9PX 3000i RT 2U","","Battery OK","00000604","","","Closed"
2024-03-23T14:11:44.152000+00:00,"","info","Output Group 2","","Group is OFF","00000A0F","","","Open"
2024-03-23T14:11:44.100000+00:00,"","info","Output Group 1","","Group is OFF","00000A0F","","","Open"
2024-03-23T14:11:44.045000+00:00,"","info","Output","","Group is OFF","00000A0F","","","Open"
2024-03-23T14:11:43.215000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-23T14:11:42.635000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load not powered","0000081D","","","Open"
2024-03-23T14:11:42.392000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-23T14:11:39.657000+00:00,"","info","Output Group 2","","Sequential shutdown completed","00001017","","","Closed"
2024-03-23T14:11:39.630000+00:00,"","info","Output Group 1","","Sequential shutdown completed","00001017","","","Closed"
2024-03-23T14:11:39.515000+00:00,"","info","Output","","Sequential shutdown completed","00001017","","","Closed"
2024-03-23T14:11:38.658000+00:00,"","info","Output Group 2","","Sequential shutdown in progress","00001017","","","Open"
2024-03-23T14:11:38.631000+00:00,"","info","Output Group 1","","Sequential shutdown in progress","00001017","","","Open"
2024-03-23T14:11:38.515000+00:00,"","info","Output","","Sequential shutdown in progress","00001017","","","Open"
2024-03-23T14:11:37.822000+00:00,"","warning","Output Group 2","","Immediate shutdown completed","00001032","","","Closed"
2024-03-23T14:11:37.782000+00:00,"","warning","Output Group 1","","Immediate shutdown completed","00001032","","","Closed"
2024-03-23T14:11:37.585000+00:00,"","warning","Output","","Immediate shutdown completed","00001032","","","Closed"
2024-03-23T14:11:35.822000+00:00,"","warning","Output Group 2","","Immediate shutdown in progress","00001032","","","Open"
2024-03-23T14:11:35.784000+00:00,"","warning","Output Group 1","","Immediate shutdown in progress","00001032","","","Open"
2024-03-23T14:11:35.584000+00:00,"","warning","Output","","Immediate shutdown in progress","00001032","","","Open"
2024-03-23T14:11:35.362000+00:00,"","critical","Eaton 9PX 3000i RT 2U","","Battery low","00000604","","","Open"
2024-03-23T14:02:20.315000+00:00,"","warning","Eaton 9PX3000i RT 2U","","On battery","00000001","","","Open"
2024-03-23T14:02:14.875000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on battery","00000001","","","Closed"
2024-03-23T14:02:01.896000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T14:02:01.790000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T14:02:01.550000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T14:02:01.249000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-23T14:02:01.119000+00:00,"","warning","Eaton 9PX3000i RT 2U","","On battery","00000001","","","Open"
2024-03-23T14:01:58.919000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage out of range","00000209","","","Open"
2024-03-23T14:01:58.739000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-23T14:01:58.695000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2024-03-23T14:01:58.657000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency out of range","00000206","","","Open"
2024-03-23T14:01:58.483000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage out of range (-)","00000108","","","Open"
2024-03-23T14:01:58.442000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC not present","00000106","","","Open"
2024-03-23T14:01:58.305000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency out of range","00000104","","","Open"
2024-03-23T13:57:51.912000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-23T13:57:51.544000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T13:57:51.533000+00:00,"","info","Output Group 1","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T13:57:51.390000+00:00,"","info","Output","","Sequential shutdown canceled","00001016","","","Closed"
2024-03-23T13:57:51.019000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-23T13:57:49.063000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2024-03-23T13:57:48.318000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2024-03-23T13:57:46.262000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2024-03-23T13:57:46.237000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2024-03-23T13:57:45.867000+00:00,"","info","Output Group 2","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T13:57:45.764000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T13:57:45.566000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2024-03-23T11:07:53.490000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2024-03-23T11:07:51.394000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2024-03-23T11:07:51.062000+00:00,"","info","Output Group 2","","Sequential shutdown canceled","00001016","","","Closed"
