Date Time(UTC), ,Priority,Application, ,Message,Code, , ,Status
2022-07-29T08:43:35.251000+00:00,"","info","Output Group 2","","Group is ON","00000A0F","","","Closed"
2022-07-29T08:43:35.243000+00:00,"","info","Output Group 1","","Group is ON","00000A0F","","","Closed"
2022-07-29T08:43:35.237000+00:00,"","info","Output","","Group is ON","00000A0F","","","Closed"
2022-07-29T08:43:33.752000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load protected","0000081D","","","Closed"
2022-07-29T08:43:33.713000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on battery","00000001","","","Closed"
2022-07-29T08:43:33.575000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage in range","00000209","","","Closed"
2022-07-29T08:43:33.564000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2022-07-29T08:43:33.558000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency in range","00000206","","","Closed"
2022-07-29T08:43:33.543000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage in range","00000108","","","Closed"
2022-07-29T08:43:33.534000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC present","00000106","","","Closed"
2022-07-29T08:43:33.520000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency in range","00000104","","","Closed"
2022-07-21T11:14:18.002000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2022-07-21T11:14:12.787000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2022-07-21T09:44:13.243000+00:00,"","critical","Eaton 9PX 3000i RT 2U","","Battery OK","00000604","","","Closed"
2022-07-21T09:44:12.980000+00:00,"","info","Output Group 2","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:44:12.861000+00:00,"","info","Output Group 1","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:44:12.805000+00:00,"","info","Output","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:44:11.770000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2022-07-21T09:44:11.135000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load not powered","0000081D","","","Open"
2022-07-21T09:44:10.880000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2022-07-21T09:44:08.837000+00:00,"","warning","Output Group 2","","Immediate shutdown completed","00001032","","","Closed"
2022-07-21T09:44:07.757000+00:00,"","info","Output Group 1","","Sequential shutdown completed","00001017","","","Closed"
2022-07-21T09:44:07.675000+00:00,"","info","Output","","Sequential shutdown completed","00001017","","","Closed"
2022-07-21T09:44:06.827000+00:00,"","warning","Output Group 2","","Immediate shutdown in progress","00001032","","","Open"
2022-07-21T09:44:06.793000+00:00,"","info","Output Group 2","","Sequential shutdown in progress","00001017","","","Open"
2022-07-21T09:44:06.756000+00:00,"","info","Output Group 1","","Sequential shutdown in progress","00001017","","","Open"
2022-07-21T09:44:06.684000+00:00,"","info","Output Group 2","","Group is ON","00000A0F","","","Closed"
2022-07-21T09:44:06.674000+00:00,"","info","Output","","Sequential shutdown in progress","00001017","","","Open"
2022-07-21T09:44:05.969000+00:00,"","warning","Output Group 1","","Immediate shutdown completed","00001032","","","Closed"
2022-07-21T09:44:05.794000+00:00,"","warning","Output","","Immediate shutdown completed","00001032","","","Closed"
2022-07-21T09:44:03.967000+00:00,"","warning","Output Group 1","","Immediate shutdown in progress","00001032","","","Open"
2022-07-21T09:44:03.787000+00:00,"","warning","Output","","Immediate shutdown in progress","00001032","","","Open"
2022-07-21T09:44:03.668000+00:00,"","critical","Eaton 9PX 3000i RT 2U","","Battery low","00000604","","","Open"
2022-07-21T09:44:03.487000+00:00,"","info","Output Group 1","","Sequential shutdown scheduled","00001016","","","Open"
2022-07-21T09:44:03.356000+00:00,"","info","Output Group 1","","Group is ON","00000A0F","","","Closed"
2022-07-21T09:44:02.428000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage out of range","00000209","","","Open"
2022-07-21T09:44:02.240000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase out range","00000200","","","Open"
2022-07-21T09:44:02.185000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass not available","00000201","","","Open"
2022-07-21T09:44:02.143000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency out of range","00000206","","","Open"
2022-07-21T09:44:02.009000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage out of range (-)","00000108","","","Open"
2022-07-21T09:44:01.940000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC not present","00000106","","","Open"
2022-07-21T09:44:01.838000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency out of range","00000104","","","Open"
2022-07-21T09:44:01.256000+00:00,"","info","Output","","Sequential shutdown scheduled","00001016","","","Open"
2022-07-21T09:44:00.912000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Battery discharging","00000603","","","Open"
2022-07-21T09:44:00.785000+00:00,"","warning","Eaton 9PX3000i RT 2U","","On battery","00000001","","","Open"
2022-07-21T09:43:59.493000+00:00,"","info","Output","","Group is ON","00000A0F","","","Closed"
2022-07-21T09:43:57.951000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load protected","0000081D","","","Closed"
2022-07-21T09:43:52.912000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass voltage in range","00000209","","","Closed"
2022-07-21T09:43:52.755000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass available","00000201","","","Closed"
2022-07-21T09:43:52.717000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass frequency in range","00000206","","","Closed"
2022-07-21T09:43:52.540000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC voltage in range","00000108","","","Closed"
2022-07-21T09:43:52.487000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC present","00000106","","","Closed"
2022-07-21T09:43:52.386000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Input AC frequency in range","00000104","","","Closed"
2022-07-21T09:43:51.660000+00:00,"","warning","Eaton 9PX3000i RT 2U","","No more on battery","00000001","","","Closed"
2022-07-21T09:42:49.692000+00:00,"","critical","Eaton 9PX 3000i RT 2U","","Battery OK","00000604","","","Closed"
2022-07-21T09:42:49.577000+00:00,"","info","Output Group 2","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:42:49.547000+00:00,"","info","Output Group 1","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:42:49.509000+00:00,"","info","Output","","Group is OFF","00000A0F","","","Open"
2022-07-21T09:42:48.609000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Bypass phase in range","00000200","","","Closed"
2022-07-21T09:42:48.077000+00:00,"","warning","Eaton 9PX3000i RT 2U","","Load not powered","0000081D","","","Open"
2022-07-21T09:42:47.832000+00:00,"","warning","Eaton 9PX3000i RT 2U","","End of UPS battery discharge","00000603","","","Closed"
2022-07-21T09:42:44.309000+00:00,"","info","Output Group 2","","Sequential shutdown completed","00001017","","","Closed"
2022-07-21T09:42:44.289000+00:00,"","info","Output Group 1","","Sequential shutdown completed","00001017","","","Closed"
2022-07-21T09:42:44.142000+00:00,"","info","Output","","Sequential shutdown completed","00001017","","","Closed"
2022-07-21T09:42:43.310000+00:00,"","info","Output Group 2","","Sequential shutdown in progress","00001017","","","Open"
