filename,dte,burst_pressure_hPa,tco_shadoz,tco_shadoz_recalc,tco_shadoz_cams,tco_shadoz_recalc_cams
nairobi_20030502T08_SHADOZV06.dat,2003-05-02,4.25,229.89999389648438,229.63729603416928,242.86484852645674,242.60215066414165
nairobi_20030507T07_SHADOZV06.dat,2003-05-07,4.449999809265137,228.24000549316406,227.81632179435175,242.27589891737566,241.85221521856334
nairobi_20030514T07_SHADOZV06.dat,2003-05-14,4.190000057220459,237.1699981689453,236.72643097349746,249.81786526689984,249.374298071452
nairobi_20030521T08_SHADOZV06.dat,2003-05-21,5.340000152587891,230.19000244140625,230.07366454572235,249.23693632115092,249.12059842546702
nairobi_20030528T07_SHADOZV06.dat,2003-05-28,4.670000076293945,231.66000366210938,231.22600038030163,246.898845026487,246.46484174467926
nairobi_20030604T07_SHADOZV06.dat,2003-06-04,4.340000152587891,230.24000549316406,229.80644113055664,244.3101226177047,243.87655825509728
nairobi_20030611T07_SHADOZV06.dat,2003-06-11,4.090000152587891,232.1300048828125,231.69278623604097,244.81523569792628,244.37801705115476
nairobi_20030625T08_SHADOZV06.dat,2003-06-25,4.820000171661377,239.4499969482422,238.99860071214033,256.26178796306414,255.81039172696228
nairobi_20030702T07_SHADOZV06.dat,2003-07-02,4.269999980926514,242.02999877929688,241.57451816726913,256.2450914897168,255.78961087768903
nairobi_20030709T07_SHADOZV06.dat,2003-07-09,6.329999923706055,229.3000030517578,228.8859788246563,256.7494936063654,256.3354693792638
nairobi_20030716T07_SHADOZV06.dat,2003-07-16,9.729999542236328,205.4199981689453,205.0399113568698,256.94683163248624,256.5667448204107
nairobi_20030723T07_SHADOZV06.dat,2003-07-23,3.940000057220459,230.7100067138672,230.28046431770713,243.01817378822457,242.5886313920645
nairobi_20030730T07_SHADOZV06.dat,2003-07-30,28.270000457763672,78.5999984741211,78.44986124107548,241.5830203957318,241.4328831626862
nairobi_20030806T07_SHADOZV06.dat,2003-08-06,4.440000057220459,236.47999572753906,236.04093971539922,252.24105621578752,251.8020002036477
