,Power factor(%),Total cumulative energy(T1+T2)(kWh),B phase current(A),Time,C phase current(A),B phase power factor(%),A phase power factor(%),A phase active power(kW),B phase active power(kW),Meter No.,T1 active energy(+)(kWh),C phase power factor(%),Apparent power(+)(kVA),Active power(+)(kW),B phase voltage(V),A phase voltage(V),A phase apparent power(kVA),C phase active power(kW),C phase apparent power(kVA),B phase apparent power(kVA),C phase voltage(V),T2 active energy(+)(kWh),ROW_NUMBER,A phase current(A)
284,0.964,33827.175,0.09,2023-12-22 06:00:00,4.48,0.19,0.822,,,40016115960,15541.175,0.95,1.1424,1.1013,140.0,140.0,,,,,243.0,18286.0,285,0.56
285,0.97,33825.898,0.09,2023-12-22 05:00:00,4.45,0.189,0.997,,,40016115960,15541.175,0.948,1.5636,1.5167,139.0,140.0,,,,,245.0,18284.723,286,3.49
286,0.966,33824.535,0.09,2023-12-22 04:00:00,4.58,0.188,0.832,,,40016115960,15541.175,0.952,1.1577,1.1183,139.0,139.0,,,,,241.0,18283.36,287,0.56
287,0.969,33823.168,0.09,2023-12-22 03:00:00,4.48,0.187,0.998,,,40016115960,15541.175,0.949,1.5911,1.5418,139.0,139.0,,,,,243.0,18281.993,288,3.69
288,0.963,33821.927,0.09,2023-12-22 02:00:00,4.52,0.187,0.909,,,40016115960,15541.175,0.95,1.364,1.3135,138.0,138.0,,,,,241.0,18280.752,289,2.09
289,0.965,33820.456,0.09,2023-12-22 01:00:00,4.53,0.187,0.83,,,40016115960,15541.175,0.952,1.136,1.0962,138.0,138.0,,,,,239.0,18279.281,290,0.55
290,0.972,33819.267,0.09,2023-12-22 12:00:00,4.48,0.187,0.999,,,40016115960,15541.175,0.949,1.6056,1.5606,139.0,139.0,,,,,244.0,18278.092,291,3.78
291,0.976,33817.691,0.09,2023-12-21 11:00:00,4.51,0.187,0.705,,,40016115960,15541.175,0.949,1.2601,1.2299,140.0,139.0,,,,,243.0,18276.516,292,1.49
292,0.959,33816.585,0.09,2023-12-21 10:00:00,4.51,0.184,0.582,,,40016115960,15541.175,0.948,1.11,1.0645,140.0,139.0,,,,,242.0,18275.41,293,0.35
293,0.964,33815.518,0.09,2023-12-21 09:00:00,4.59,0.188,0.581,,,40016115960,15540.109,0.953,1.113,1.0729,138.0,137.0,,,,,239.0,18275.409,294,0.36
294,0.964,33814.446,0.09,2023-12-21 08:00:00,4.55,0.187,0.582,,,40016115960,15539.037,0.952,1.1127,1.0726,140.0,138.0,,,,,240.0,18275.409,295,0.36
295,0.962,33813.373,0.09,2023-12-21 07:00:00,4.57,0.187,0.584,,,40016115960,15537.964,0.953,1.1144,1.0721,139.0,138.0,,,,,239.0,18275.409,296,0.36
296,0.963,33812.299,0.09,2023-12-21 06:00:00,4.58,0.189,0.58,,,40016115960,15536.89,0.953,1.1175,1.0762,139.0,138.0,,,,,240.0,18275.409,297,0.36
297,0.963,33811.223,0.09,2023-12-21 05:00:00,4.54,0.187,0.579,,,40016115960,15535.814,0.952,1.1162,1.0749,140.0,139.0,,,,,242.0,18275.409,298,0.36
298,0.964,33810.146,0.09,2023-12-21 04:00:00,4.57,0.188,0.581,,,40016115960,15534.737,0.953,1.1165,1.0763,140.0,138.0,,,,,241.0,18275.409,299,0.36
299,0.962,33809.071,0.09,2023-12-21 03:00:00,4.54,0.188,0.578,,,40016115960,15533.662,0.952,1.1187,1.0762,141.0,139.0,,,,,242.0,18275.409,300,0.36
300,0.961,33807.995,0.09,2023-12-21 02:00:00,4.53,0.187,0.578,,,40016115960,15532.586,0.951,1.1188,1.0752,141.0,139.0,,,,,243.0,18275.409,301,0.36
301,0.96,33806.921,0.09,2023-12-21 01:00:00,4.53,0.187,0.578,,,40016115960,15531.512,0.951,1.1207,1.0759,141.0,140.0,,,,,243.0,18275.409,302,0.36
302,0.96,33805.843,0.09,2023-12-21 12:00:00,4.52,0.186,0.58,,,40016115960,15530.434,0.95,1.116,1.0714,141.0,139.0,,,,,243.0,18275.409,303,0.36
303,0.96,33804.771,0.09,2023-12-21 11:00:00,4.49,0.186,0.577,,,40016115960,15529.362,0.948,1.1167,1.072,142.0,141.0,,,,,244.0,18275.409,304,0.36
304,0.959,33803.699,0.09,2023-12-21 10:00:00,4.51,0.189,0.573,,,40016115960,15528.29,0.949,1.1203,1.0744,142.0,140.0,,,,,244.0,18275.409,305,0.36
305,0.958,33802.627,0.09,2023-12-21 09:00:00,4.47,0.187,0.576,,,40016115960,15527.218,0.946,1.1158,1.0689,142.0,141.0,,,,,245.0,18275.409,306,0.36
306,0.959,33801.557,0.09,2023-12-21 08:00:00,4.51,0.19,0.578,,,40016115960,15526.148,0.949,1.1152,1.0695,141.0,139.0,,,,,243.0,18275.409,307,0.36
307,0.96,33800.488,0.09,2023-12-21 07:00:00,4.48,0.189,0.574,,,40016115960,15526.147,0.948,1.1139,1.0693,142.0,140.0,,,,,244.0,18274.341,308,0.36
308,0.958,33799.42,0.09,2023-12-21 06:00:00,4.48,0.189,0.575,,,40016115960,15526.147,0.948,1.1149,1.0681,141.0,140.0,,,,,244.0,18273.273,309,0.36
309,0.97,33798.344,0.09,2023-12-21 05:00:00,4.52,0.192,0.997,,,40016115960,15526.147,0.951,1.5442,1.4979,137.0,137.0,,,,,241.0,18272.197,310,3.42
310,0.964,33796.948,0.09,2023-12-21 04:00:00,4.5,0.188,0.828,,,40016115960,15526.147,0.949,1.1406,1.0995,140.0,139.0,,,,,242.0,18270.801,311,0.56
311,0.971,33795.639,0.09,2023-12-21 03:00:00,4.5,0.189,0.998,,,40016115960,15526.147,0.948,1.5821,1.5362,138.0,138.0,,,,,243.0,18269.492,312,3.65
312,0.962,33794.366,0.09,2023-12-21 02:00:00,4.47,0.184,0.85,,,40016115960,15526.147,0.947,1.215,1.1688,141.0,140.0,,,,,245.0,18268.219,313,1.04
313,0.973,33792.952,0.09,2023-12-21 01:00:00,4.55,0.189,0.999,,,40016115960,15526.147,0.95,1.5942,1.5512,137.0,137.0,,,,,241.0,18266.805,314,3.77
314,0.961,33791.496,0.09,2023-12-21 12:00:00,4.56,0.188,0.576,,,40016115960,15526.147,0.95,1.1125,1.0691,140.0,139.0,,,,,241.0,18265.349,315,0.36
