aurora_id,aurora_name,cpd2_id,cpd2_description,mkndaq_id
1,Date & Time,dtm,Date String (YYYY-MM-DDThh:mm:ssZ),column_1
,,CsnG_S11,Sensitivity factor (Hz) green
,,CsnR_S11,Sensitivity factor (Hz) red
,,EPOCH,Epoch time: seconds from Jan 1 1970
,,CrG_S11,Green reference (Hz)
,,Bbs2B_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) CO2 blue
,,Bbs2G_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) CO2 green
,,Bbs2R_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) CO2 red
,,Bbs1B_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) AIR blue
,,Bbs1G_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) AIR green
,,Bbs1R_S11,Aerosol backwards-hemispheric light scattering coefficient (Mm-1) AIR red
,,Bs1B_S11,Aerosol total light scattering coefficient (Mm-1) AIR blue
,,Bs1G_S11,Aerosol total light scattering coefficient (Mm-1) AIR green
,,Bs1R_S11,Aerosol total light scattering coefficient (Mm-1) AIR red
,,Bs2B_S11,Aerosol total light scattering coefficient (Mm-1) CO2 blue
,,Bs2G_S11,Aerosol total light scattering coefficient (Mm-1) CO2 green
,,Bs2R_S11,Aerosol total light scattering coefficient (Mm-1) CO2 red
,,Cbsr1B_S11,Backscatter count frequency from calibrator on AIR run blue
,,Cbsr1G_S11,Backscatter count frequency from calibrator on AIR run green
,,Cbsr1R_S11,Backscatter count frequency from calibrator on AIR run red
,,Cbsr2B_S11,Backscatter count frequency from calibrator on CO2 run blue
,,Cbsr2G_S11,Backscatter count frequency from calibrator on CO2 run green
,,Cbsr2R_S11,Backscatter count frequency from calibrator on CO2 run red
,,Cbsd1B_S11,Backscatter dark count frequency from on AIR run blue
,,Cbsd1G_S11,Backscatter dark count frequency from on AIR run green
,,Cbsd1R_S11,Backscatter dark count frequency from on AIR run red
,,Cbsd2B_S11,Backscatter dark count frequency from on CO2 run blue
,,Cbsd2G_S11,Backscatter dark count frequency from on CO2 run green
,,Cbsd2R_S11,Backscatter dark count frequency from on CO2 run red
,,Cbsp1B_S11,Backscatter sample count frequency on AIR run blue
,,Cbsp1G_S11,Backscatter sample count frequency on AIR run green
,,Cbsp1R_S11,Backscatter sample count frequency on AIR run red
,,Cbsp2B_S11,Backscatter sample count frequency on CO2 run blue
,,Cbsp2G_S11,Backscatter sample count frequency on CO2 run green
,,Cbsp2R_S11,Backscatter sample count frequency on CO2 run red
,,Csr1B_S11,Calibrator count frequency on AIR run blue
,,Csr1G_S11,Calibrator count frequency on AIR run green
,,Csr1R_S11,Calibrator count frequency on AIR run red
,,Csr2B_S11,Calibrator count frequency on CO2 run blue
,,Csr2G_S11,Calibrator count frequency on CO2 run green
,,Csr2R_S11,Calibrator count frequency on CO2 run red
,,Bbs2gB_S11,CO2 Rayleigh backscattering at STP (Mm-1) blue
,,Bbs2gG_S11,CO2 Rayleigh backscattering at STP (Mm-1) green
,,Bbs2gR_S11,CO2 Rayleigh backscattering at STP (Mm-1) red
,,Bs2gB_S11,CO2 Rayleigh scattering at STP (Mm-1) blue
,,Bs2gG_S11,CO2 Rayleigh scattering at STP (Mm-1) green
,,Bs2gR_S11,CO2 Rayleigh scattering at STP (Mm-1) red
,,Csd1B_S11,Dark count frequency from on AIR run blue
,,Csd1G_S11,Dark count frequency from on AIR run green
,,Csd1R_S11,Dark count frequency from on AIR run red
,,Csd2B_S11,Dark count frequency from on CO2 run blue
,,Csd2G_S11,Dark count frequency from on CO2 run green
,,Csd2R_S11,Dark count frequency from on CO2 run red
,,DEN1_S11,Density on AIR run
,,DEN2_S11,Density on CO2 run
