column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48
2024-07-20T04:56:00.000000,17.00445,27.9625,34.69199,4.13493,4.26265,4.79936,17.7352,28.26917,35.1348,3.42207,4.46125,4.94779,0.01248,0.01433,0.01794,0.0075,0.00748,0.00875,0.01193,0.01355,0.01702,0.00741,0.00736,0.00861,27.33999,659.02002,23.32,26.77001,662.67999,210.0031,210.0031,210.0031,1644112.0,1972263.0,1449716.0,21748.06055,26629.55078,25993.88086,11824.78027,14197.42969,12828.17969,18.36182,19.78074,4.97504,0.0,b'\x00\x00\x00',60
2024-07-20T04:52:00.000000,8.4111,13.76155,17.72447,1.95351,2.00024,2.40069,6.25059,10.40446,13.63052,1.13091,1.63241,1.86198,0.01014,0.01088,0.01365,0.00711,0.00703,0.00816,0.01002,0.01077,0.0134,0.00713,0.007,0.00814,27.32,659.07001,22.66,26.72,662.71002,180.0023,180.0023,180.0023,1642728.0,1976426.0,1450282.0,16407.16016,21651.09961,21733.00977,11370.70996,13631.33008,12146.99023,18.35449,19.98061,4.99339,0.0,b'\x00\x00\x00',60
2024-07-20T04:38:00.000000,3.54506,4.75622,6.34376,1.18075,0.91458,0.64205,3.13828,5.13799,6.55604,0.69002,0.88807,0.95369,0.00957,0.00997,0.01211,0.00712,0.00689,0.00802,0.0095,0.00994,0.0122,0.00707,0.00691,0.00801,27.27999,658.79999,22.94,26.61001,662.48999,220.0034,200.00281,200.00281,1644774.0,1976392.0,1451081.0,15353.15039,19600.18945,17733.65039,10920.00977,12826.50977,11975.03027,18.20068,20.06628,4.99392,0.0,b'\x00\x00\x00',60
2024-07-20T04:48:00.000000,3.19061,5.15146,6.78642,0.59392,0.96319,1.07895,3.41608,5.56881,7.1458,0.69098,0.97105,1.05155,0.01052,0.0115,0.01416,0.00718,0.00708,0.00829,0.00955,0.01001,0.0123,0.00708,0.00692,0.00802,27.30001,658.88,22.64,26.69,662.65002,230.00369,230.00369,230.00369,1642134.0,1975831.0,1450040.0,16726.23047,22508.74023,21514.01953,11475.87988,13714.82031,11928.28027,18.36182,20.26616,5.00554,0.0,b'\x00\x00\x00',60
2024-07-20T04:53:00.000000,12.33759,11.16059,15.15743,0.96119,1.88225,2.00088,8.2316,13.44843,16.62393,1.52854,2.10197,2.37734,0.01103,0.01221,0.01509,0.0073,0.00719,0.00842,0.01035,0.01124,0.0139,0.00718,0.00706,0.00822,27.32,658.94,22.96,26.74002,662.62,240.004,313.34021,313.34021,1643509.0,1972549.0,1450571.0,17867.32031,24488.57031,22443.53906,11579.37988,13753.23047,12215.44043,18.20068,20.00917,4.99312,0.0,b'\x00\x00\x00',60
2024-07-20T04:50:00.000000,11.13258,18.48426,22.27229,2.26491,2.7451,2.79503,4.72662,7.96958,10.42841,0.93209,1.31116,1.40423,0.01087,0.01195,0.01481,0.00725,0.00714,0.00829,0.00977,0.01039,0.01286,0.0071,0.00696,0.00807,27.30999,658.91998,22.84,26.67999,662.53998,220.0034,220.0034,220.0034,1643577.0,1973071.0,1449519.0,16869.90039,21527.39062,21221.48047,11327.30957,13656.37988,12273.87012,18.2373,19.92351,5.01771,0.0,b'\x00\x00\x00',60
2024-07-20T04:54:00.000000,12.33589,22.53003,23.6485,2.50567,3.08541,3.68871,10.95152,18.10701,21.679,1.977,2.77075,2.99975,0.01139,0.01265,0.0159,0.00732,0.00725,0.00843,0.0108,0.01197,0.01475,0.00723,0.00715,0.00831,27.33001,659.0,23.08,26.72,662.81,226.6703,226.6703,253.3378,1642006.0,1977228.0,1449986.0,18427.07031,25881.81055,24112.28906,11801.41016,14092.21973,12258.83984,18.35449,20.00917,5.01149,0.0,b'\x00\x00\x00',60
2024-07-20T04:42:00.000000,2.50195,4.69677,6.17541,0.79482,0.63078,1.08946,3.07402,5.07349,6.48604,0.68003,0.87733,0.92829,0.00944,0.00984,0.01223,0.00709,0.00692,0.00797,0.00949,0.00993,0.01219,0.00707,0.0069,0.008,27.29,658.84998,23.21,26.61001,662.63,210.0031,210.0031,210.0031,1643649.0,1974987.0,1449054.0,15039.15039,18828.11914,18041.08984,11215.45996,13155.44043,11609.42969,18.31787,19.78074,4.96245,0.0,b'\x00\x00\x00',60
2024-07-20T04:39:00.000000,3.54493,5.27338,6.02084,1.04998,0.77546,1.0463,3.11549,5.14246,6.51875,0.71019,0.89739,0.94203,0.00946,0.00997,0.01207,0.00712,0.00693,0.00798,0.0095,0.00994,0.0122,0.00708,0.00691,0.00801,27.27999,658.78003,23.04,26.61999,662.52002,220.0034,220.0034,223.33681,1644142.0,1976327.0,1451599.0,14715.13965,18717.83008,17752.0293,11487.55957,13061.92969,11624.4502,18.28857,20.00917,5.01228,0.0,b'\x00\x00\x00',60
2024-07-20T04:30:00.000000,2.85552,5.37363,6.31331,0.67299,0.80329,1.05222,3.16514,5.24683,6.79169,0.60405,0.91163,0.95742,0.00956,0.00995,0.01225,0.00702,0.00691,0.00798,0.00951,0.00996,0.01224,0.00706,0.00691,0.00801,27.27001,658.69,22.04,26.54,662.42999,213.3365,213.3365,213.3365,1645611.0,1975318.0,1449915.0,15104.29004,18864.88086,17554.88086,11123.65039,13207.2002,11634.46973,18.36182,20.03772,4.98221,0.0,b'\x00\x00\x00',60
