dtm,period,operation,Sigma 1 min Average 635nm Fullscatter (Mm-1),Sigma 1 min Average 525nm Fullscatter (Mm-1),Sigma 1 min Average 450nm Fullscatter (Mm-1),Sigma 1 min Average 635nm Backscatter (Mm-1),Sigma 1 min Average 525nm Backscatter (Mm-1),Sigma 1 min Average 450nm Backscatter (Mm-1),2635000,2525000,2450000,2635090,2525090,2450090,Measure Ratio 1 min Average 635nm Fullscatter,Measure Ratio 1 min Average 525nm Fullscatter,Measure Ratio 1 min Average 450nm Fullscatter,Measure Ratio 1 min Average 635nm Backscatter,Measure Ratio 1 min Average 525nm Backscatter,Measure Ratio 1 min Average 450nm Backscatter,Measure Ratio Kalman Filtered 635nm Fullscatter,Measure Ratio Kalman Filtered 525nm Fullscatter,Measure Ratio Kalman Filtered 450nm Fullscatter,Measure Ratio Kalman Filtered 635nm Backscatter,Measure Ratio Kalman Filtered 525nm Backscatter,Measure Ratio Kalman Filtered 450nm Backscatter,5001,5002,5003,5004,5005,Dark Count 635nm Fullscatter (MHz),13525000,Dark Count 450nm Fullscatter (MHz),15635000,15525000,15450000,11635000,11525000,11450000,11635090,11525090,11450090,6001,6002,6003,cooler_duty_cycle,4035,5010,5006,26635000,26525000,26450000,6007,6008,6635000,6525000,6450000,6635090,6525090,6450090
2024-07-20T04:40:00.000000,60,0,2.878728,5.272835,5.746752,1.063648,1.083738,0.7573462,3.124306,5.136633,6.491648,0.6979618,0.8811474,0.936202,0.009534085,0.009921252,0.01213109,0.007050121,0.006867049,0.00798603,0.009502741,0.009943858,0.01219352,0.007075881,0.006904985,0.008004143,27.27999,658.87,23.09,26.63,662.52,233.3371,233.3371,233.3371,1645060.0,1973854.0,1449767.0,14980.69,18998.57,17503.08,11101.95,13030.21,11914.93,18.33252,,19.8664,,0.0,5.030089,,,,,,,,,,,,
2024-07-20T04:41:00.000000,60,0,3.314827,4.991249,6.121874,0.2063444,0.5855584,0.8141708,3.092868,5.112709,6.475443,0.6741114,0.8677654,0.9428902,0.009399209,0.009875459,0.01214054,0.007015362,0.00687283,0.00802747,0.009497244,0.009940177,0.01219069,0.007072938,0.006903221,0.008005312,27.29,658.86,23.27,26.63,662.58,236.6706,236.6706,236.6706,1643649.0,1974987.0,1449054.0,15126.0,18644.3,17738.66,11302.27,13021.86,11742.98,18.33252,,20.00917,,0.0,4.98755,,,,,,,,,,,,
2024-07-20T04:42:00.000000,60,0,2.501949,4.696766,6.175409,0.7948179,0.6307755,1.089458,3.074025,5.073486,6.486036,0.6800303,0.8773336,0.9282894,0.009444906,0.009835826,0.01222947,0.007087787,0.006923832,0.007971375,0.009494167,0.00993416,0.01219291,0.007073659,0.006904432,0.008003324,27.29,658.85,23.21,26.61001,662.63,210.0031,210.0031,210.0031,1643649.0,1974987.0,1449054.0,15039.15,18828.12,18041.09,11215.46,13155.44,11609.43,18.31787,,19.78074,,0.0,4.962455,,,,,,,,,,,,
2024-07-20T04:43:00.000000,60,0,2.777254,4.442423,6.706049,0.7946892,1.028182,0.7165651,3.118997,5.063009,6.48612,0.6794286,0.8949614,0.944911,0.009632839,0.009904229,0.01218315,0.007074946,0.006944476,0.008044934,0.009501631,0.009932527,0.0121924,0.0070736,0.006906756,0.008005581,27.29,658.87,23.04,26.64001,662.58,240.004,240.004,240.004,1642464.0,1974132.0,1450739.0,15187.8,18669.37,17914.1,11162.05,13157.11,11771.36,18.31055,,20.06628,,0.0,5.017996,,,,,,,,,,,,
2024-07-20T04:44:00.000000,60,0,3.908508,4.882002,6.43329,0.690239,1.189233,0.8517675,3.093578,5.062273,6.490507,0.664753,0.9016647,0.9410944,0.009426128,0.009928885,0.01219913,0.007040687,0.00692273,0.007991827,0.009497559,0.009932319,0.01219279,0.007071809,0.006907615,0.008005209,27.29,658.9,22.84,26.64999,662.66,196.6694,196.6694,196.6694,1646004.0,1976361.0,1451243.0,14725.16,18776.31,17371.1,11125.32,13197.18,11801.41,18.41309,,19.95206,,0.0,5.01199,,,,,,,,,,,,
2024-07-20T04:45:00.000000,60,0,2.662697,5.040598,6.528742,0.4121644,1.019864,0.8515892,3.094485,5.038656,6.454222,0.6539798,0.8987694,0.943059,0.009502837,0.009862355,0.01207817,0.007046747,0.006900014,0.008017319,0.00949781,0.009928582,0.01218657,0.007070451,0.006907208,0.008005531,27.30001,658.87,22.69,26.64999,662.7,193.3359,193.3359,193.3359,1641781.0,1977829.0,1453138.0,15110.97,18938.41,17267.51,11070.24,13290.69,11457.51,18.36914,,19.92351,,0.0,5.006081,,,,,,,,,,,,
2024-07-20T04:46:00.000000,60,0,3.125829,4.705311,5.80303,0.4612803,0.8423901,1.02063,3.076658,5.022263,6.439936,0.6436667,0.8924513,0.9437323,0.009443018,0.009877197,0.01216728,0.007046782,0.006893208,0.008010152,0.009494674,0.009926591,0.01218555,0.007069197,0.006906431,0.008005798,27.30001,658.96,22.74,26.66,662.61,250.0044,250.0044,230.0037,1642333.0,1977391.0,1450278.0,14686.75,19240.88,17842.26,11273.89,13277.33,11751.33,18.14209,,19.75218,,0.0,5.011337,,,,,,,,,,,,
2024-07-20T04:47:00.000000,60,0,2.764876,4.705906,6.790056,0.4614568,0.7887983,0.9739065,3.081802,5.025524,6.460974,0.6406074,0.8959208,0.9522047,0.009513513,0.009946915,0.01224397,0.007063111,0.00691543,0.008026125,0.009495629,0.009927006,0.01218849,0.007068834,0.00690694,0.008006901,27.30001,658.93,22.58,26.66,662.59,190.0025,190.0025,190.0025,1645917.0,1978157.0,1451155.0,15147.71,19118.89,17640.09,11257.2,13516.11,11701.24,18.28857,,20.20905,,0.0,5.029808,,,,,,,,,,,,
2024-07-20T04:48:00.000000,60,0,3.19061,5.151464,6.786421,0.5939202,0.9631882,1.078954,3.41608,5.568806,7.145803,0.6909814,0.9710455,1.051547,0.01052156,0.01150208,0.01416092,0.007183633,0.007082477,0.008287211,0.009550938,0.01001196,0.01230456,0.007075059,0.006916437,0.008022019,27.30001,658.88,22.64,26.69,662.65,230.0037,230.0037,230.0037,1642134.0,1975831.0,1450040.0,16726.23,22508.74,21514.02,11475.88,13714.82,11928.28,18.36182,,20.26616,,0.0,5.005541,,,,,,,,,,,,
2024-07-20T04:49:00.000000,60,0,9.263214,15.135,18.161,1.57332,2.265016,2.822816,3.82893,6.265293,7.95962,0.783361,1.047801,1.154132,0.01083209,0.01202438,0.014854,0.007268835,0.007088561,0.008283048,0.009619515,0.01011995,0.0124412,0.007086398,0.006926439,0.008037213,27.30999,658.89,22.78,26.70001,662.66,260.0047,260.0047,260.0047,1642134.0,1975831.0,1450040.0,16799.73,23060.5,21796.54,11537.64,13604.61,12146.99,18.42041,,20.09483,,0.0,4.993471,,,,,,,,,,,,
2024-07-20T04:50:00.000000,60,0,11.13258,18.48426,22.27229,2.264908,2.745095,2.795028,4.726621,7.969584,10.42841,0.9320922,1.311163,1.404228,0.01087306,0.01195382,0.01480907,0.007246122,0.00714392,0.008287025,0.009768671,0.01038579,0.01285738,0.007104762,0.006960115,0.008074682,27.30999,658.92,22.84,26.67999,662.54,220.0034,220.0034,220.0034,1643577.0,1973071.0,1449519.0,16869.9,21527.39,21221.48,11327.31,13656.38,12273.87,18.2373,,19.92351,,0.0,5.017708,,,,,,,,,,,,
2024-07-20T04:51:00.000000,60,0,11.37745,18.03499,22.00201,2.081071,2.745248,2.39721,5.890078,9.941372,12.91995,1.21485,1.478624,1.796102,0.01038026,0.01128832,0.01408685,0.00723052,0.007048384,0.008223668,0.009962036,0.01069266,0.01327792,0.007139501,0.006981564,0.008133603,27.30999,659.03,22.8,26.74002,662.8,193.3359,193.3359,193.3359,1640956.0,1973428.0,1447089.0,16002.91,21044.29,20049.77,11170.39,13268.98,11898.23,18.2666,,20.18049,,0.0,4.998985,,,,,,,,,,,,
2024-07-20T04:52:00.000000,60,0,8.411098,13.76155,17.72447,1.953514,2.000235,2.400685,6.250587,10.40446,13.63052,1.130911,1.63241,1.861985,0.01014389,0.01088312,0.01365457,0.007108334,0.007033333,0.008163922,0.01002162,0.01076517,0.01339675,0.007129253,0.007001237,0.008142971,27.32,659.07,22.66,26.72,662.71,180.0023,180.0023,180.0023,1642728.0,1976426.0,1450282.0,16407.16,21651.1,21733.01,11370.71,13631.33,12146.99,18.35449,,19.98061,,0.0,4.993393,,,,,,,,,,,,
2024-07-20T04:53:00.000000,60,0,12.33759,11.16059,15.15743,0.9611859,1.882249,2.000884,8.231595,13.44843,16.62393,1.528543,2.101969,2.377337,0.01103192,0.01221253,0.0150862,0.007298335,0.007187739,0.008416771,0.01035035,0.01123966,0.01390179,0.007178176,0.007061498,0.008220317,27.32,658.94,22.96,26.74002,662.62,240.004,313.3402,313.3402,1643509.0,1972549.0,1450571.0,17867.32,24488.57,22443.54,11579.38,13753.23,12215.44,18.20068,,20.00917,,0.0,4.993124,,,,,,,,,,,,
2024-07-20T04:54:00.000000,60,0,12.33589,22.53003,23.6485,2.505669,3.085414,3.688714,10.95152,18.10701,21.679,1.976996,2.770746,2.999755,0.01139133,0.01265483,0.01589745,0.00731834,0.007246112,0.008431766,0.0108021,0.01196556,0.01475418,0.007233267,0.007147399,0.00831356,27.33001,659.0,23.08,26.72,662.81,226.6703,226.6703,253.3378,1642006.0,1977228.0,1449986.0,18427.07,25881.81,24112.29,11801.41,14092.22,12258.84,18.35449,,20.00917,,0.0,5.011486,,,,,,,,,,,,
2024-07-20T04:55:00.000000,60,0,14.50284,22.52889,34.68917,2.667367,3.541735,3.787265,14.00986,22.96025,28.31476,2.617489,3.4729,3.879184,0.01180741,0.0135024,0.01694679,0.007394886,0.007338681,0.008583181,0.0113095,0.01272205,0.01587225,0.0073122,0.007237289,0.008445538,27.33999,659.0,23.23,26.74002,662.66,200.0028,200.0028,200.0028,1643764.0,1973745.0,1448720.0,18836.47,25411.79,24011.96,11824.78,14149.0,12312.27,18.43506,,20.06628,,0.0,4.980836,,,,,,,,,,,,
2024-07-20T04:56:00.000000,60,0,17.00445,27.9625,34.69199,4.134926,4.262649,4.799363,17.7352,28.26917,35.1348,3.422072,4.46125,4.947793,0.01248201,0.01433133,0.01794302,0.007498988,0.00748436,0.008745084,0.01192874,0.01355019,0.01702143,0.007411239,0.007364142,0.008605417,27.33999,659.02,23.32,26.77001,662.68,210.0031,210.0031,210.0031,1644112.0,1972263.0,1449716.0,21748.06,26629.55,25993.88,11824.78,14197.43,12828.18,18.36182,,19.78074,,0.0,4.975044,,,,,,,,,,,,
2024-07-20T04:57:00.000000,60,0,21.07143,33.29118,40.58765,3.564737,5.401107,5.880092,18.40438,30.40657,37.54521,3.469759,4.877917,5.364699,0.01216362,0.0142052,0.0178314,0.007428761,0.007469798,0.00872676,0.01203927,0.01388183,0.01743007,0.00741707,0.007417297,0.008667873,27.33999,658.99,23.46,26.76,662.73,193.3359,193.3359,193.3359,1644112.0,1972263.0,1449716.0,19854.22,27865.92,26458.91,11712.93,14713.47,12539.33,18.30322,,20.03772,,0.0,4.999432,,,,,,,,,,,,
2024-07-20T04:58:00.000000,60,0,19.15548,32.48176,39.93173,3.564332,5.698569,5.757243,19.56027,32.01113,39.36153,3.903696,5.265251,5.614802,0.01264324,0.01451909,0.01832091,0.007571859,0.00752251,0.008776254,0.01223082,0.01413187,0.01773527,0.007470536,0.007466966,0.00870542,27.35,659.01,23.43,26.72,662.8,190.0025,190.0025,190.0025,1645428.0,1976009.0,1453387.0,20083.19,27633.35,26301.67,12285.56,14613.27,12783.1,18.3252,,20.15194,,0.0,5.029855,,,,,,,,,,,,
2024-07-20T04:59:00.000000,60,0,22.04405,34.497,42.84417,4.726186,5.698968,5.880542,20.27851,32.86376,41.1515,4.126589,5.44614,5.79383,0.01262545,0.01454924,0.01851418,0.007566693,0.007550881,0.008745321,0.01235016,0.01426459,0.01803559,0.007498045,0.007490103,0.00873233,27.35,659.06,23.48,26.76,662.72,193.3359,193.3359,193.3359,1645584.0,1975392.0,1449189.0,19396.3,26850.37,26843.68,11811.42,14349.4,12963.42,18.33984,,20.03772,,0.0,4.999523,,,,,,,,,,,,
2024-07-20T05:00:00.000000,60,0,21.9374,34.6876,43.98662,4.684249,5.918119,5.883872,20.94886,33.55706,41.92654,4.006344,5.467068,5.952758,0.01274925,0.0146702,0.01840458,0.007444819,0.007501118,0.008806583,0.01246136,0.01437306,0.01816691,0.007483239,0.007493056,0.008755639,27.36001,659.07,23.59,26.74999,662.72,233.3371,233.3371,233.3371,1643611.0,1975311.0,1448627.0,19332.79,28950.21,27102.99,11871.52,14262.56,12889.95,18.31787,,19.95206,,0.0,4.999881,,,,,,,,,,,,
